city,job_type,week,available_partner_hours
Delhi,cleaning,2024-01-01,1166.5
Delhi,cleaning,2024-01-08,1250.4
Delhi,cleaning,2024-01-15,1011.9
Delhi,cleaning,2024-01-22,994.2
Delhi,cleaning,2024-01-29,1161.1
Delhi,cleaning,2024-02-05,1065.8
Delhi,cleaning,2024-02-12,989.3
Delhi,cleaning,2024-02-19,1104.5
Delhi,cleaning,2024-02-26,1183.8
Delhi,cleaning,2024-03-04,1050.3
Delhi,cleaning,2024-03-11,1064.5
Delhi,cleaning,2024-03-18,1210.0
Delhi,cleaning,2024-03-25,1117.2
Delhi,cleaning,2024-04-01,1209.2
Delhi,cleaning,2024-04-08,1096.2
Delhi,cleaning,2024-04-15,1240.6
Delhi,cleaning,2024-04-22,1154.5
Delhi,cleaning,2024-04-29,1002.0
Delhi,cleaning,2024-05-06,1221.3
Delhi,cleaning,2024-05-13,1108.4
Delhi,cleaning,2024-05-20,1009.4
Delhi,cleaning,2024-05-27,1012.5
Delhi,cleaning,2024-06-03,1164.9
Delhi,cleaning,2024-06-10,982.5
Delhi,cleaning,2024-06-17,1050.7
Delhi,cleaning,2024-06-24,1008.8
Delhi,cleaning,2024-07-01,1094.7
Delhi,cleaning,2024-07-08,1087.1
Delhi,cleaning,2024-07-15,1117.7
Delhi,cleaning,2024-07-22,1048.7
Delhi,cleaning,2024-07-29,978.1
Delhi,cleaning,2024-08-05,1144.1
Delhi,cleaning,2024-08-12,1075.5
Delhi,cleaning,2024-08-19,1154.6
Delhi,cleaning,2024-08-26,1000.0
Delhi,cleaning,2024-09-02,972.9
Delhi,cleaning,2024-09-09,1039.8
Delhi,cleaning,2024-09-16,1099.1
Delhi,cleaning,2024-09-23,1081.3
Delhi,cleaning,2024-09-30,1199.9
Delhi,cleaning,2024-10-07,1076.7
Delhi,cleaning,2024-10-14,1120.2
Delhi,cleaning,2024-10-21,1138.2
Delhi,cleaning,2024-10-28,975.2
Delhi,cleaning,2024-11-04,1115.8
Delhi,cleaning,2024-11-11,1067.3
Delhi,cleaning,2024-11-18,1089.1
Delhi,cleaning,2024-11-25,997.6
Delhi,cleaning,2024-12-02,1192.1
Delhi,cleaning,2024-12-09,1237.6
Delhi,cleaning,2024-12-16,975.3
Delhi,cleaning,2024-12-23,1140.4
Delhi,appliance_repair,2024-01-01,999.3
Delhi,appliance_repair,2024-01-08,884.4
