partner_id,city,skill,tenure_months,jobs_done,earnings_per_job,churn_probability,churn_flag,active_flag
P00001,Delhi,cleaning,4,31,320.94,0.0378,0,1
P00002,Delhi,cleaning,28,237,304.91,0.0446,0,1
P00003,Delhi,cleaning,7,59,304.46,0.0448,0,1
P00004,Delhi,cleaning,34,275,329.39,0.0356,0,1
P00005,Delhi,cleaning,6,45,333.63,0.0347,0,1
P00006,Delhi,cleaning,28,209,278.54,0.0695,0,1
P00007,Delhi,cleaning,27,208,306.16,0.0439,0,1
P00008,Delhi,cleaning,25,181,290.42,0.0554,0,1
P00009,Delhi,cleaning,34,290,295.96,0.0506,0,1
P00010,Delhi,cleaning,16,139,294.4,0.0518,0,1
P00011,Delhi,cleaning,23,171,326.75,0.0362,0,1
P00012,Delhi,cleaning,6,52,305.47,0.0443,0,1
P00013,Delhi,cleaning,2,10,306.26,0.0438,0,1
P00014,Delhi,cleaning,6,54,311.61,0.0412,0,1
P00015,Delhi,cleaning,29,218,331.06,0.0352,0,1
P00016,Delhi,cleaning,11,69,294.74,0.0516,0,1
P00017,Delhi,cleaning,5,46,302.06,0.0463,0,1
P00018,Delhi,cleaning,21,154,281.54,0.0654,0,1
P00019,Delhi,cleaning,26,192,285.58,0.0604,0,1
P00020,Delhi,cleaning,17,134,295.26,0.0511,0,1
P00021,Delhi,cleaning,22,154,338.1,0.034,0,1
P00022,Delhi,cleaning,14,118,338.57,0.0339,0,1
P00023,Delhi,cleaning,10,79,281.95,0.0648,0,1
P00024,Delhi,cleaning,26,206,295.54,0.0509,0,1
P00025,Delhi,cleaning,20,175,322.37,0.0374,0,1
P00026,Delhi,cleaning,7,59,317.85,0.0388,0,1
P00027,Delhi,cleaning,28,216,282.41,0.0643,0,1
P00028,Delhi,cleaning,15,123,314.03,0.0402,1,0
P00029,Delhi,cleaning,6,48,281.06,0.066,0,1
P00030,Delhi,cleaning,35,279,312.79,0.0407,0,1
P00031,Delhi,cleaning,30,232,304.17,0.045,1,0
P00032,Delhi,cleaning,10,69,282.74,0.0638,0,1
P00033,Delhi,cleaning,5,43,325.56,0.0365,0,1
P00034,Delhi,cleaning,11,104,278.12,0.0701,0,1
P00035,Delhi,cleaning,20,174,296.27,0.0503,0,1
P00036,Delhi,cleaning,14,105,292.3,0.0536,0,1
P00037,Delhi,cleaning,7,38,340.07,0.0337,0,1
