date,city,job_type,list_price,discount,booked,gmv,units
2024-01-01,Delhi,cleaning,502.74,0.0,1,502.74,1
2024-01-01,Delhi,cleaning,517.11,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,488.57,0.074,0,0.0,1
2024-01-01,Delhi,cleaning,518.04,0.235,1,396.18,1
2024-01-01,Delhi,cleaning,510.45,0.055,1,482.27,1
2024-01-01,Delhi,cleaning,513.91,0.0,1,513.91,1
2024-01-01,Delhi,cleaning,507.21,0.065,0,0.0,1
2024-01-01,Delhi,cleaning,516.28,0.089,1,470.37,1
2024-01-01,Delhi,cleaning,523.61,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,495.02,0.139,0,0.0,1
2024-01-01,Delhi,cleaning,514.66,0.117,1,454.51,1
2024-01-01,Delhi,cleaning,511.2,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,496.65,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,520.3,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,493.73,0.0,1,493.73,1
2024-01-01,Delhi,cleaning,502.27,0.229,1,387.44,1
2024-01-01,Delhi,cleaning,479.34,0.0,1,479.34,1
2024-01-01,Delhi,cleaning,485.32,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,516.0,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,493.84,0.0,1,493.84,1
2024-01-01,Delhi,cleaning,493.71,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,486.32,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,498.58,0.0,1,498.58,1
2024-01-01,Delhi,cleaning,514.26,0.24,1,390.77,1
2024-01-01,Delhi,cleaning,518.72,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,477.55,0.0,1,477.55,1
2024-01-01,Delhi,cleaning,502.73,0.0,1,502.73,1
2024-01-01,Delhi,cleaning,497.37,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,504.7,0.056,1,476.28,1
2024-01-01,Delhi,cleaning,496.37,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,493.94,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,497.6,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,503.09,0.0,1,503.09,1
2024-01-01,Delhi,cleaning,499.05,0.12,0,0.0,1
2024-01-01,Delhi,cleaning,497.61,0.0,1,497.61,1
2024-01-01,Delhi,cleaning,514.86,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,511.26,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,491.08,0.205,0,0.0,1
2024-01-01,Delhi,cleaning,514.0,0.0,1,514.0,1
2024-01-01,Delhi,cleaning,516.65,0.149,1,439.74,1
2024-01-01,Delhi,cleaning,481.71,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,503.13,0.0,1,503.13,1
2024-01-01,Delhi,cleaning,488.29,0.0,1,488.29,1
2024-01-01,Delhi,cleaning,510.93,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,485.97,0.225,0,0.0,1
2024-01-01,Delhi,cleaning,507.55,0.0,1,507.55,1
2024-01-01,Delhi,cleaning,486.78,0.096,0,0.0,1
2024-01-01,Delhi,cleaning,499.56,0.236,0,0.0,1
2024-01-01,Delhi,cleaning,521.39,0.0,0,0.0,1
2024-01-01,Delhi,cleaning,493.08,0.134,0,0.0,1
2024-01-01,Delhi,cleaning,517.75,0.0,0,0.0,1
