city,job_type,n_leads,a,beta,beta_lo,beta_hi,se,p_base,point_elasticity,true_beta,covered
Delhi,appliance_repair,11910,-0.6341504305249396,-0.77875803578729,-1.1868378859376116,-0.37067818563696825,0.2082078310464904,0.34657003687699905,-0.5088638346062295,-1.036444,True
Delhi,cleaning,18795,-0.6185596490836055,-3.923587946647403,-4.253352265146324,-3.5938236281484817,0.16825019291173726,0.350109107592339,-2.5499040720866226,-3.90399,True
Delhi,pest_control,6985,-0.6017797722379685,-1.1910406081891631,-1.7248603989095916,-0.6572208174687345,0.2723620407982652,0.35393661557094824,-0.7694877263191269,-1.780857,False
Delhi,plumbing,9619,-0.5756285693146497,0.021221507424344848,-0.45306315064600444,0.4955061654946942,0.2419864149604004,0.35993907887130505,0.013583057589765602,-0.2,True
Delhi,salon_at_home,14239,-0.6151690842493638,-2.777117679118121,-3.147289920144994,-2.4069454380912476,0.18886685875186723,0.350880963561861,-1.8026799519444754,-2.638302,True
Hyderabad,appliance_repair,8989,-0.5793171054577049,-0.7230876706559161,-1.1946180290607835,-0.25155731225104866,0.24058113420666846,0.3590897428231239,-0.46343430496151145,-1.098407,True
Hyderabad,cleaning,14624,-0.6253294542813153,-1.5862476501223122,-1.9538299986931704,-1.218665301551454,0.18754546076882075,0.34857032273067184,-1.033328794788408,-1.600793,True
Hyderabad,pest_control,5517,-0.6268163717250794,-2.8687154360777094,-3.468597479731849,-2.26883339242357,0.30606789123980477,0.3482327658627163,-1.8697347252993006,-2.657626,True
Hyderabad,plumbing,7225,-0.602478800868711,-1.0162990063591744,-1.557375783618737,-0.47522222909961187,0.27606465298725236,0.3537767881734459,-0.6567560080655611,-0.819769,True
Hyderabad,salon_at_home,11054,-0.6092157734589991,-4.043885876713675,-4.473858202746779,-3.613913550680572,0.21937766684728408,0.3522381113435788,-2.619475153011078,-4.0,True
