segment,city,job_type,scenario,r,price,conversion,earn,churn,serv_peak,serv_annual,demand,fulfilled,promised,gross,repl,net,extrapolated,status,floor_gap,binds
Delhi / appliance repair,Delhi,appliance_repair,Status quo,1.0,349.0,0.34657003687699905,213.96499999999997,0.2804080233354659,1.0,1.0,4127.649139205058,4127.649139205058,360137.38739564136,360137.38739564136,33648.96280025591,326488.42459538544,False,,0.0,
Delhi / appliance repair,Delhi,appliance_repair,Single-sided (in-sample),1.05,366.45,0.3380164457057095,224.66324999999998,0.2362981267379019,1.0,1.0,4025.7758683549996,4025.7758683549996,375836.3706299518,375836.3706299518,28355.775208548228,347480.5954214036,False,,0.0,
Delhi / appliance repair,Delhi,appliance_repair,Two-sided (in-sample),1.05,366.45,0.3380164457057095,224.66324999999998,0.2362981267379019,1.0,1.0,4025.7758683549996,4025.7758683549996,375836.3706299518,375836.3706299518,28355.775208548228,347480.5954214036,False,feasible,0.0,
Delhi / appliance repair,Delhi,appliance_repair,Two-sided (full band),1.25,436.25,0.30833278543891995,267.45624999999995,0.09794025239332552,1.0,1.0,3672.2434745775367,3672.2434745775367,432544.3782618016,432544.3782618016,11752.830287199062,420791.54797460255,True,feasible,0.0,
Delhi / cleaning,Delhi,cleaning,Status quo,1.0,499.0,0.350109107592339,305.17575,0.04795808120064295,1.0,1.0,6580.300677198011,6580.300677198011,820892.5094804517,820892.5094804517,5754.969744077154,815137.5397363745,False,,0.0,
Delhi / cleaning,Delhi,cleaning,Single-sided (in-sample),0.8,399.20000000000005,0.5638897558810754,244.1406,0.16080936732358014,0.643865024534574,0.7214576970842312,10598.30796178481,7646.230855098742,951940.0211275116,686784.4554049689,19297.12407882962,667487.3313261393,False,,0.0,serviceability
Delhi / cleaning,Delhi,cleaning,Two-sided (in-sample),0.915,456.58500000000004,0.4329015542149155,279.23581125,0.07490656093025796,0.9245382161994176,0.9941675858264241,8136.384711469337,8088.929945956497,894227.3276178595,889011.8234778622,8988.787311630955,880023.0361662313,False,feasible,0.0,
Delhi / cleaning,Delhi,cleaning,Two-sided (full band),0.915,456.58500000000004,0.4329015542149155,279.23581125,0.07490656093025796,0.9245382161994176,0.9941675858264241,8136.384711469337,8088.929945956497,894227.3276178595,889011.8234778622,8988.787311630955,880023.0361662313,False,feasible,0.0,
Delhi / pest control,Delhi,pest_control,Status quo,1.0,799.0,0.35393661557094824,492.09675000000004,0.0300176829008068,1.0,1.0,2472.247259763073,2472.247259763073,493831.39013767376,493831.39013767376,3602.121948096816,490229.2681895769,False,,0.0,
Delhi / pest control,Delhi,pest_control,Single-sided (in-sample),1.05,838.95,0.340764133469467,516.7015875000001,0.030007044591935827,1.0,1.0,2380.237472284227,2380.237472284227,508734.1055449885,508734.1055449885,3600.8453510322993,505133.2601939562,False,,0.0,
Delhi / pest control,Delhi,pest_control,Two-sided (in-sample),1.05,838.95,0.340764133469467,516.7015875000001,0.030007044591935827,1.0,1.0,2380.237472284227,2380.237472284227,508734.1055449885,508734.1055449885,3600.8453510322993,505133.2601939562,False,feasible,0.0,
Delhi / pest control,Delhi,pest_control,Two-sided (full band),1.25,998.75,0.29576376774467306,615.1209375000001,0.030000179872081832,1.0,1.0,2065.9099176965415,2065.9099176965415,557098.4331808437,557098.4331808437,3600.02158464982,553498.4115961939,True,feasible,0.0,
Delhi / plumbing,Delhi,plumbing,Status quo,1.0,299.0,0.35993907887130505,184.589,0.3882413655491905,1.0,1.0,3462.253999663084,3462.253999663084,258803.48647481547,258803.48647481547,46588.96386590286,212214.5226089126,False,,0.0,
