capacity_mult,service_target,cleaning_delhi_r,portfolio_net,uplift_vs_status_quo,unreachable_segments
0.7,0.8,1.035,5740484.8533387575,0.06387630166601355,2
0.7,0.85,1.035,5740484.8533387575,0.06387630166601355,2
0.7,0.9,1.035,5740484.8533387575,0.06387630166601355,2
0.7,0.95,1.035,5740484.8533387575,0.06387630166601355,3
0.85,0.8,0.965,5804067.32346698,0.0629168467878023,2
0.85,0.85,0.965,5804067.32346698,0.0629168467878023,2
0.85,0.9,0.965,5804067.32346698,0.0629168467878023,2
0.85,0.95,0.985,5795402.968342791,0.06133011656659737,2
1.0,0.8,0.915,5847963.92275675,0.07095576713477025,2
1.0,0.85,0.915,5847963.92275675,0.07095576713477025,2
1.0,0.9,0.915,5847963.92275675,0.07095576713477025,2
1.0,0.95,0.925,5844368.171266322,0.07029726601425668,2
1.15,0.8,0.87,5875707.731813594,0.07603657691817012,2
1.15,0.85,0.87,5875707.731813594,0.07603657691817012,2
1.15,0.9,0.87,5875707.731813594,0.07603657691817012,2
1.15,0.95,0.88,5873586.339893979,0.0756480798377035,2
1.3,0.8,0.835,5891237.6852860255,0.0788806254544332,2
1.3,0.85,0.835,5891237.6852860255,0.0788806254544332,2
1.3,0.9,0.835,5891237.6852860255,0.0788806254544332,2
1.3,0.95,0.84,5891090.787790495,0.07885372366056198,2
